,mal_id,score,english_name,type,episodes,premiered,studios,source,duration,ranked,popularity,members,favorites,watching,completed,on-hold,dropped,plan_to_watch,genres1,genres2,genres3,genres4,genres5,rating_clean,aired_start,aired_stop,aired_start_y,aired_stop_y,airing_time_days,rating_tot,airing_time_category
1222,13759,8.19,The Pet Girl of Sakurasou,TV,24,2012,J.C.Staff,Light novel,23 min. per ep.,322.0,83,920871,25403,47924,643241,26815,24661,178230,Slice of Life, Comedy, Romance, School,,PG-13,2012-10-09,2013-03-26,2012,2013,168 days,-0.2736865636390779,long
1223,14075,7.99,Blast of Tempest,TV,24,2012,Bones,Manga,24 min. per ep.,549.0,247,482114,6309,28272,269385,20396,18759,145302,Action, Mystery, Drama, Magic, Fantasy,PG-13,2012-10-05,2013-03-29,2012,2013,175 days,-0.23936683126242753,long
1224,14093,6.41,Pokémon:Black & White:Rival Destinies,TV,24,2012,OLM,Game,22 min. per ep.,6374.0,2364,46326,43,910,37539,755,1279,5843,Action, Adventure, Fantasy, Kids,,PG,2012-06-21,2013-01-10,2012,2013,203 days,0.02452915502973494,very_long
1225,14131,7.55,Girls & Panzer,TV,12,2012,Actas,Original,24 min. per ep.,1427.0,642,225650,4155,10178,137852,6433,8665,62522,Action, Sports, School,,,PG-13,2012-10-09,2013-03-25,2012,2013,167 days,-0.1793189686842878,long
1226,14199,6.53,OniAi,TV,12,2012,SILVER LINK.,Light novel,24 min. per ep.,5713.0,608,236709,405,13482,143557,6912,11565,61193,Comedy, Ecchi, Romance, School,,R+,2012-10-05,2012-12-21,2012,2012,77 days,-0.10718726526473359,short
1227,14227,7.55,My Little Monster,TV,13,2012,Brain's Base,Manga,24 min. per ep.,1417.0,111,762563,5392,33513,571939,18697,17377,121037,Slice of Life, Comedy, School, Shoujo,,PG-13,2012-10-02,2012-12-25,2012,2012,84 days,-0.21706289733664363,medium
1228,14237,6.32,Busou Shinki:Armored War Goddess,TV,12,2012,8bit,Other,24 min. per ep.,6752.0,2795,33527,46,2207,15105,1608,4062,10545,Action, Sci-Fi, Mecha,,,PG-13,2012-10-05,2012-12-21,2012,2012,77 days,0.06114039105932109,short
1229,14283,6.46,Vividred Operation,TV,12,2013,A-1 Pictures,Original,24 min. per ep.,6126.0,2002,60079,107,3178,30037,2241,5616,19007,Action, Sci-Fi,,,,R+,2013-01-11,2013-03-29,2013,2013,77 days,-0.00442330483926803,short
1230,14289,7.49,"Say ""I Love You"".",TV,13,2012,Zexcs,Manga,24 min. per ep.,1613.0,256,475603,4432,18371,348399,9212,13558,86063,Drama, Romance, Shoujo,,,PG-13,2012-10-07,2012-12-30,2012,2012,84 days,-0.20219316338444707,medium
1231,14345,7.39,BTOOOM!,TV,12,2012,Madhouse,Manga,24 min. per ep.,1942.0,140,678842,3407,20647,510409,11446,18454,117886,Action, Sci-Fi, Seinen,,,R,2012-10-04,2012-12-20,2012,2012,77 days,-0.20271786587041796,short
1232,14355,6.82,Encouragement of Climb,TV,12,2013,8bit,Manga,3 min. per ep.,4375.0,1976,61181,125,2788,28399,1414,1746,26834,Adventure, Slice of Life,,,,PG-13,2013-01-03,2013-03-21,2013,2013,77 days,-0.031958202373220446,short
1233,14467,7.51,K,TV,13,2012,GoHands,Original,24 min. per ep.,1560.0,178,597674,6458,28262,400631,17313,22455,129013,Action, Mystery, Supernatural,,,PG-13,2012-10-05,2012-12-28,2012,2012,84 days,-0.20999166705692415,medium
1234,14513,8.07,Magi:The Labyrinth of Magic,TV,25,2012,A-1 Pictures,Manga,24 min. per ep.,456.0,110,775824,8319,44633,535193,28001,22598,145399,Action, Adventure, Magic, Shounen,,PG-13,2012-10-07,2013-03-31,2012,2013,175 days,-0.2555746845848939,long
1235,14527,7.46,Medaka Box Abnormal,TV,12,2012,"Gainax, Asahi Production",Manga,24 min. per ep.,1704.0,1231,117766,293,3848,84653,2320,2131,24814,Action, Comedy, Martial Arts, School, Shounen,PG-13,2012-10-11,2012-12-27,2012,2012,77 days,-0.1299106183825662,short
1236,14645,7.23,Hiiro no Kakera:The Tamayori Princess Saga Season 2,TV,13,2012,Studio Deen,Visual novel,24 min. per ep.,2651.0,2413,44296,150,1858,30329,1301,1580,9228,Fantasy, Romance, Supernatural,,,PG-13,2012-09-30,2012-12-23,2012,2012,84 days,-0.030639183616748982,medium
1237,14653,7.05,Hayate the Combat Butler:Can't Take My Eyes Off You,TV,12,2012,Manglobe,Manga,24 min. per ep.,3468.0,2349,46733,70,1732,30556,1396,2070,10979,Comedy, Harem, Shounen,,,PG-13,2012-10-04,2012-12-20,2012,2012,77 days,-0.022232811444689315,short
